,Gm.,Date,Var.3,Tm,Var.5,Opp,W.L,R,RA,Inn,W.L.1,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,Streak,Orig..Scheduled,Year
51,50,"Wednesday, May 30",boxscore,BOS,,DET,W,6,4,,26-24,5,2.5,Albers,Dotel,Aceves,3:04,N,37195,+++,,2012
52,51,"Thursday, May 31",boxscore,BOS,,DET,L,3,7,,26-25,5,3,Scherzer,Beckett,,3:23,N,37629,-,,2012
53,Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2012
54,52,"Friday, Jun 1",boxscore,BOS,@,TOR,W,7,2,,27-25,4,3,Buchholz,Alvarez,,3:00,N,29678,+,,2012
55,53,"Saturday, Jun 2",boxscore,BOS,@,TOR,W,7,4,,28-25,4,2,Doubront,Drabek,Aceves,3:05,D,43390,++,,2012
56,54,"Sunday, Jun 3",boxscore,BOS,@,TOR,L,1,5,,28-26,4,3,Hutchison,Bard,,2:52,D,41925,-,,2012
57,55,"Tuesday, Jun 5",boxscore,BOS,,BAL,L,6,8,10,28-27,5,3,Johnson,Aceves,,3:34,N,37181,--,,2012
58,56,"Wednesday, Jun 6",boxscore,BOS,,BAL,L,1,2,,28-28,5,4,Chen,Beckett,Johnson,2:31,N,37243,---,,2012
59,57,"Thursday, Jun 7",boxscore,BOS,,BAL,W,7,0,,29-28,5,3,Buchholz,Matusz,,2:50,N,37307,+,,2012
60,58,"Friday, Jun 8",boxscore,BOS,,WSN,L,4,7,,29-29,5,4,Strasburg,Doubront,Clippard,3:13,N,37309,-,,2012
61,59,"Saturday, Jun 9",boxscore,BOS,,WSN,L,2,4,,29-30,5,5,Gonzalez,Matsuzaka,Clippard,2:53,D,37534,--,,2012
62,60,"Sunday, Jun 10",boxscore,BOS,,WSN,L,3,4,,29-31,5,6,Gorzelanny,Aceves,Clippard,3:06,D,37467,---,,2012
63,61,"Monday, Jun 11",boxscore,BOS,@,MIA,L,1,4,,29-32,5,6.5,Johnson,Beckett,Bell,2:35,N,32562,----,,2012
64,62,"Tuesday, Jun 12",boxscore,BOS,@,MIA,W,2,1,,30-32,5,6.5,Buchholz,Buehrle,Aceves,2:55,N,29326,+,,2012
65,63,"Wednesday, Jun 13",boxscore,BOS,@,MIA,W,10,2,,31-32,4,6.5,Doubront,Nolasco,,2:58,N,33119,++,,2012
66,64,"Friday, Jun 15",boxscore,BOS,@,CHC,L,0,3,,31-33,5,7.5,Dempster,Matsuzaka,Marmol,2:41,D,40073,-,,2012
67,65,"Saturday, Jun 16",boxscore,BOS,@,CHC,W,4,3,,32-33,5,7.5,Lester,Samardzija,Aceves,3:06,N,40766,+,,2012
68,66,"Sunday, Jun 17",boxscore,BOS,@,CHC,W,7,4,,33-33,5,7.5,Albers,Camp,,3:17,N,38531,++,,2012
69,67,"Tuesday, Jun 19",boxscore,BOS,,MIA,W,7,5,,34-33,5,7,Buchholz,Buehrle,Aceves,2:53,N,37701,+++,,2012
70,68,"Wednesday, Jun 20",boxscore,BOS,,MIA,W,15,5,,35-33,4,6,Doubront,Nolasco,,3:14,N,37362,++++,,2012
71,69,"Thursday, Jun 21",boxscore,BOS,,MIA,W,6,5,,36-33,4,5.5,Atchison,Mujica,Aceves,3:09,N,37261,+++++,,2012
72,70,"Friday, Jun 22",boxscore,BOS,,ATL,L,1,4,,36-34,4,5.5,Jurrjens,Lester,Kimbrel,2:55,N,37281,-,,2012
73,71,"Saturday, Jun 23",boxscore,BOS,,ATL,W,8,4,,37-34,4,5.5,Morales,Delgado,,3:03,N,37782,+,,2012
74,72,"Sunday, Jun 24",boxscore,BOS,,ATL,W,9,4,,38-34,4,5.5,Cook,Minor,,2:55,D,37565,++,,2012
75,73,"Monday, Jun 25",boxscore,BOS,,TOR,L,6,9,,38-35,4,6.5,Alvarez,Doubront,Janssen,3:01,N,37208,-,,2012
76,74,"Tuesday, Jun 26",boxscore,BOS,,TOR,W,5,1,,39-35,4,6.5,Miller,Perez,,3:02,N,37755,+,,2012
77,75,"Wednesday, Jun 27",boxscore,BOS,,TOR,W,10,4,,40-35,3,6.5,Lester,Romero,,2:40,D,37744,++,,2012
78,76,"Thursday, Jun 28",boxscore,BOS,@,SEA,L-wo,0,1,,40-36,3,6.5,Hernandez,Atchison,,2:40,N,20692,-,,2012
79,77,"Friday, Jun 29",boxscore,BOS,@,SEA,W,5,0,,41-36,3,5.5,Cook,Noesi,,2:18,N,23094,+,,2012
80,78,"Saturday, Jun 30",boxscore,BOS,@,SEA,L-wo,2,3,11,41-37,3,6.5,Kelley,Aceves,,3:49,N,31311,-,,2012
81,Gm#,July,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2012
82,79,"Sunday, Jul 1",boxscore,BOS,@,SEA,W,2,1,10,42-37,3,6.5,Padilla,League,Aceves,3:21,D,34065,+,,2012
83,80,"Monday, Jul 2",boxscore,BOS,@,OAK,L,1,6,,42-38,3,6.5,Parker,Matsuzaka,,2:39,N,17434,-,,2012
84,81,"Tuesday, Jul 3",boxscore,BOS,@,OAK,L-wo,2,3,,42-39,4,6.5,Blevins,Aceves,,3:10,N,35067,--,,2012
85,82,"Wednesday, Jul 4",boxscore,BOS,@,OAK,L,2,3,,42-40,4,7.5,Balfour,Cook,Cook,2:35,D,28240,---,,2012
86,83,"Friday, Jul 6",boxscore,BOS,,NYY,L,8,10,,42-41,4,8.5,Logan,Miller,Soriano,3:59,N,38066,----,,2012
87,84,"Saturday, Jul 7 (1)",boxscore,BOS,,NYY,L,1,6,,42-42,4,8.5,Garcia,Morales,,3:07,D,38170,-----,,2012
88,85,"Saturday, Jul 7 (2)",boxscore,BOS,,NYY,W,9,5,,43-42,4,8.5,Doubront,Hughes,,3:36,N,37791,+,2012-04-22 (Rain),2012
89,86,"Sunday, Jul 8",boxscore,BOS,,NYY,L,3,7,,43-43,4,9.5,Nova,Lester,,4:02,N,38270,-,,2012
90,87,"Friday, Jul 13",boxscore,BOS,@,TBR,W,3,1,,44-43,4,9.5,Morales,Hellickson,Aceves,3:26,N,29089,+,,2012
91,88,"Saturday, Jul 14",boxscore,BOS,@,TBR,L,3,5,,44-44,4,10.5,Price,Buchholz,Rodney,3:16,N,27311,-,,2012
92,89,"Sunday, Jul 15",boxscore,BOS,@,TBR,W,7,3,,45-44,4,9.5,Beckett,Shields,,3:36,D,26131,+,,2012
93,90,"Monday, Jul 16",boxscore,BOS,,CHW,W,5,1,,46-44,3,9.5,Padilla,Septimo,,2:40,N,38334,++,,2012
94,91,"Tuesday, Jul 17",boxscore,BOS,,CHW,L,5,7,,46-45,4,10.5,Humber,Lester,Reed,3:06,N,37771,-,,2012
95,92,"Wednesday, Jul 18",boxscore,BOS,,CHW,W,10,1,,47-45,3,10.5,Doubront,Hernandez,,2:50,N,37367,+,,2012
96,93,"Thursday, Jul 19",boxscore,BOS,,CHW,W-wo,3,1,,48-45,3,9.5,Aceves,Thornton,,2:47,N,38413,++,,2012
97,94,"Friday, Jul 20",boxscore,BOS,,TOR,L,1,6,,48-46,4,9.5,Laffey,Beckett,,3:01,N,38093,-,,2012
98,95,"Saturday, Jul 21",boxscore,BOS,,TOR,L,3,7,,48-47,4,9.5,Villanueva,Cook,,3:04,N,38170,--,,2012
99,96,"Sunday, Jul 22",boxscore,BOS,,TOR,L,7,15,,48-48,5,9.5,Alvarez,Lester,,3:28,D,37737,---,,2012
100,97,"Monday, Jul 23",boxscore,BOS,@,TEX,L,1,9,,48-49,5,10.5,Feldman,Doubront,,3:03,N,44132,----,,2012
101,98,"Tuesday, Jul 24",boxscore,BOS,@,TEX,W,2,1,,49-49,4,9.5,Padilla,Nathan,Aceves,3:21,N,41237,+,,2012
102,99,"Wednesday, Jul 25",boxscore,BOS,@,TEX,L,3,5,,49-50,4,10.5,Holland,Beckett,Nathan,2:43,N,44104,-,,2012
103,100,"Friday, Jul 27",boxscore,BOS,@,NYY,L,3,10,,49-51,5,11.5,Hughes,Cook,,2:41,N,49571,--,,2012
104,101,"Saturday, Jul 28",boxscore,BOS,@,NYY,W,8,6,,50-51,5,10.5,Miller,Soriano,Aceves,3:13,N,49573,+,,2012
105,102,"Sunday, Jul 29",boxscore,BOS,@,NYY,W,3,2,10,51-51,5,9.5,Aceves,Robertson,,3:42,N,48526,++,,2012
106,103,"Monday, Jul 30",boxscore,BOS,,DET,W,7,3,,52-51,4,8.5,Buchholz,Scherzer,,2:56,N,37784,+++,,2012
107,104,"Tuesday, Jul 31",boxscore,BOS,,DET,W,4,1,6,53-51,4,7.5,Mortensen,Verlander,Morales,2:22,N,37275,++++,,2012
108,Gm#,August,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2012
109,105,"Wednesday, Aug 1",boxscore,BOS,,DET,L,5,7,,53-52,4,8.5,Porcello,Cook,Valverde,3:34,N,37213,-,,2012
110,106,"Thursday, Aug 2",boxscore,BOS,,MIN,L,0,5,,53-53,4,9,Deduno,Lester,Perkins,2:35,N,37191,--,,2012
111,107,"Friday, Aug 3",boxscore,BOS,,MIN,L,5,6,10,53-54,4,10,Gray,Padilla,Burton,4:08,N,37285,---,,2012
112,108,"Saturday, Aug 4",boxscore,BOS,,MIN,L,4,6,,53-55,4,10,Burnett,Aceves,Burton,3:22,N,37914,----,,2012
113,109,"Sunday, Aug 5",boxscore,BOS,,MIN,W,6,4,,54-55,4,10,Morales,Blackburn,Aceves,3:14,D,37019,+,,2012
114,110,"Monday, Aug 6",boxscore,BOS,,TEX,W,9,2,,55-55,4,9,Cook,Darvish,,2:47,N,37316,++,,2012
115,111,"Tuesday, Aug 7",boxscore,BOS,,TEX,L,3,6,,55-56,4,9,Dempster,Lester,Nathan,3:21,N,38416,-,,2012
116,112,"Wednesday, Aug 8",boxscore,BOS,,TEX,L,9,10,,55-57,4,10,Ogando,Mortensen,Nathan,3:30,D,37716,--,,2012
117,113,"Thursday, Aug 9",boxscore,BOS,@,CLE,L,3,5,,55-58,4,11,Jimenez,Doubront,Perez,3:13,N,19639,---,,2012
118,114,"Friday, Aug 10",boxscore,BOS,@,CLE,W,3,2,,56-58,4,11,Buchholz,Seddon,,2:40,N,27246,+,,2012
119,115,"Saturday, Aug 11",boxscore,BOS,@,CLE,L,2,5,,56-59,4,12,McAllister,Morales,Perez,2:40,N,27894,-,,2012
120,116,"Sunday, Aug 12",boxscore,BOS,@,CLE,W,14,1,,57-59,4,11,Lester,Kluber,,3:20,D,27488,+,,2012
121,117,"Tuesday, Aug 14",boxscore,BOS,@,BAL,L,1,7,,57-60,4,12.5,Chen,Beckett,,2:53,N,26204,-,,2012
122,118,"Wednesday, Aug 15",boxscore,BOS,@,BAL,L,3,5,,57-61,4,13.5,Gonzalez,Cook,Johnson,2:53,N,22269,--,,2012
123,119,"Thursday, Aug 16",boxscore,BOS,@,BAL,W,6,3,,58-61,4,12.5,Buchholz,Ayala,Aceves,3:22,N,25483,+,,2012
124,120,"Friday, Aug 17",boxscore,BOS,@,NYY,L,4,6,,58-62,4,13.5,Hughes,Morales,Soriano,2:49,N,49422,-,,2012
125,121,"Saturday, Aug 18",boxscore,BOS,@,NYY,W,4,1,,59-62,4,12.5,Lester,Phelps,Aceves,3:12,D,49466,+,,2012
126,122,"Sunday, Aug 19",boxscore,BOS,@,NYY,L,1,4,,59-63,4,13.5,Kuroda,Beckett,Soriano,2:51,N,48620,-,,2012
127,123,"Tuesday, Aug 21",boxscore,BOS,,LAA,L,3,5,,59-64,4,13,Santana,Cook,Frieri,3:00,N,37794,--,,2012
128,124,"Wednesday, Aug 22",boxscore,BOS,,LAA,L,3,7,,59-65,4,13,Weaver,Buchholz,,3:14,N,37373,---,,2012
129,125,"Thursday, Aug 23",boxscore,BOS,,LAA,L,13,14,10,59-66,4,13.5,Frieri,Aceves,,4:34,N,37829,----,,2012
130,126,"Friday, Aug 24",boxscore,BOS,,KCR,W,4,3,,60-66,4,13.5,Lester,Herrera,Bailey,2:54,N,37228,+,,2012
131,127,"Saturday, Aug 25",boxscore,BOS,,KCR,L,9,10,12,60-67,4,13.5,Bueno,Tazawa,Holland,4:31,N,37103,-,,2012
132,128,"Sunday, Aug 26",boxscore,BOS,,KCR,W,8,6,,61-67,4,13.5,Beato,Smith,Melancon,3:36,D,37188,+,,2012
133,129,"Monday, Aug 27",boxscore,BOS,,KCR,W,5,1,,62-67,4,12.5,Matsuzaka,Hochevar,,2:34,D,37506,++,,2012
134,130,"Tuesday, Aug 28",boxscore,BOS,@,LAA,L-wo,5,6,,62-68,4,13.5,Jepsen,Aceves,,3:01,N,38745,-,,2012
135,131,"Wednesday, Aug 29",boxscore,BOS,@,LAA,L,3,10,,62-69,4,13.5,Wilson,Stewart,,3:06,N,37841,--,,2012
136,132,"Thursday, Aug 30",boxscore,BOS,@,LAA,L,2,5,,62-70,4,14,Greinke,Lester,Frieri,2:43,N,39013,---,,2012
137,133,"Friday, Aug 31",boxscore,BOS,@,OAK,L,2,20,,62-71,4,14,McCarthy,Cook,,3:01,N,20121,----,,2012
138,Gm#,September,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2012
139,134,"Saturday, Sep 1",boxscore,BOS,@,OAK,L,1,7,,62-72,4,15,Griffin,Doubront,,2:56,N,20315,-----,,2012
140,135,"Sunday, Sep 2",boxscore,BOS,@,OAK,L,2,6,,62-73,4,15,Anderson,Matsuzaka,,2:51,D,25314,------,,2012
141,136,"Monday, Sep 3",boxscore,BOS,@,SEA,L,1,4,,62-74,4,15,Vargas,Buchholz,Wilhelmsen,2:44,D,21641,-------,,2012
142,137,"Tuesday, Sep 4",boxscore,BOS,@,SEA,W,4,3,,63-74,4,14,Lester,Beavan,Bailey,3:27,N,12754,+,,2012
143,138,"Wednesday, Sep 5",boxscore,BOS,@,SEA,L,1,2,,63-75,4,15,Millwood,Cook,Wilhelmsen,2:47,N,13037,-,,2012
144,139,"Friday, Sep 7",boxscore,BOS,,TOR,L,5,7,,63-76,4,15.5,Alvarez,Doubront,,3:08,N,37156,--,,2012
145,140,"Saturday, Sep 8",boxscore,BOS,,TOR,L,2,9,,63-77,5,15.5,Lincoln,Matsuzaka,,2:55,N,37107,---,,2012
146,141,"Sunday, Sep 9",boxscore,BOS,,TOR,L,3,4,,63-78,5,16.5,Lyon,Buchholz,Janssen,3:03,D,37226,----,,2012
147,142,"Tuesday, Sep 11",boxscore,BOS,,NYY,W-wo,4,3,,64-78,5,15.5,Bailey,Robertson,,3:11,N,37437,+,,2012
148,143,"Wednesday, Sep 12",boxscore,BOS,,NYY,L,4,5,,64-79,5,16.5,Phelps,Cook,Soriano,3:43,N,37230,-,,2012
149,144,"Thursday, Sep 13",boxscore,BOS,,NYY,L,0,2,,64-80,5,17.5,Hughes,Doubront,Soriano,3:11,N,38134,--,,2012
150,145,"Friday, Sep 14",boxscore,BOS,@,TOR,W,8,5,,65-80,5,16.5,Carpenter,Oliver,Bailey,3:42,N,21888,+,,2012
151,146,"Saturday, Sep 15",boxscore,BOS,@,TOR,W,3,2,,66-80,4,16.5,Breslow,Delabar,Bailey,3:09,D,27325,++,,2012
152,147,"Sunday, Sep 16",boxscore,BOS,@,TOR,L,0,5,,66-81,5,17.5,Lyon,Lester,,2:42,D,21698,-,,2012
153,148,"Monday, Sep 17",boxscore,BOS,@,TBR,W,5,2,,67-81,5,17,Cook,Cobb,,3:11,N,11722,+,,2012
154,149,"Tuesday, Sep 18",boxscore,BOS,@,TBR,W,7,5,,68-81,4,16.5,Doubront,Farnsworth,Bailey,4:09,N,11502,++,,2012
155,150,"Wednesday, Sep 19",boxscore,BOS,@,TBR,L,3,13,,68-82,4,18,Archer,Matsuzaka,,3:21,N,12708,-,,2012
156,151,"Thursday, Sep 20",boxscore,BOS,@,TBR,L-wo,4,7,,68-83,4,19,Badenhop,Bailey,,3:12,N,12963,--,,2012
157,152,"Friday, Sep 21",boxscore,BOS,,BAL,L,2,4,,68-84,4,20,Gonzalez,Lester,Johnson,3:00,N,37731,---,,2012
158,153,"Saturday, Sep 22",boxscore,BOS,,BAL,L,6,9,12,68-85,4,21,Hunter,Aceves,Johnson,4:14,D,37570,----,,2012
159,154,"Sunday, Sep 23",boxscore,BOS,,BAL,W,2,1,,69-85,4,20,Tazawa,Ayala,Bailey,2:53,D,37310,+,,2012
160,155,"Tuesday, Sep 25",boxscore,BOS,,TBR,L,2,5,,69-86,4,20.5,Price,Buchholz,,2:50,N,37045,-,,2012
161,156,"Wednesday, Sep 26",boxscore,BOS,,TBR,L,2,4,,69-87,4,21.5,Cobb,Lester,Rodney,3:18,N,37247,--,,2012
162,157,"Friday, Sep 28",boxscore,BOS,@,BAL,L,1,9,,69-88,4,22,Tillman,Cook,,2:23,N,33518,---,,2012
163,158,"Saturday, Sep 29",boxscore,BOS,@,BAL,L,3,4,,69-89,5,22,Hunter,Doubront,Johnson,2:37,N,46311,----,,2012
164,159,"Sunday, Sep 30",boxscore,BOS,@,BAL,L,3,6,,69-90,5,23,Saunders,Stewart,Johnson,2:19,D,41257,-----,,2012
165,Gm#,October,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2012
166,160,"Monday, Oct 1",boxscore,BOS,@,NYY,L,2,10,,69-91,5,24,Sabathia,Buchholz,,2:58,N,45478,------,,2012
167,161,"Tuesday, Oct 2",boxscore,BOS,@,NYY,L-wo,3,4,12,69-92,5,25,Lowe,Miller,,4:09,N,41564,-------,,2012
168,162,"Wednesday, Oct 3",boxscore,BOS,@,NYY,L,2,14,,69-93,5,26,Kuroda,Matsuzaka,,3:23,N,47393,--------,,2012
169,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2012
170,1,"Monday, Apr 1",boxscore,BOS,@,NYY,W,8,2,,Jan-00,1,up 0.5,Lester,Sabathia,,3:37,D,49514,+,,2013
171,2,"Wednesday, Apr 3",boxscore,BOS,@,NYY,W,7,4,,Feb-00,1,up 1.0,Buchholz,Kuroda,Hanrahan,3:35,N,40216,++,,2013
172,3,"Thursday, Apr 4",boxscore,BOS,@,NYY,L,2,4,,1-Feb,1,Tied,Pettitte,Dempster,Rivera,2:38,N,40611,-,,2013
173,4,"Friday, Apr 5",boxscore,BOS,@,TOR,W,6,4,,1-Mar,1,Tied,Tazawa,Rogers,Hanrahan,3:35,N,45328,+,,2013
174,5,"Saturday, Apr 6",boxscore,BOS,@,TOR,L,0,5,,2-Mar,1,Tied,Happ,Lackey,,2:38,D,45797,-,,2013
175,6,"Sunday, Apr 7",boxscore,BOS,@,TOR,W,13,0,,2-Apr,1,up 1.0,Lester,Dickey,,2:44,D,41168,+,,2013
176,7,"Monday, Apr 8",boxscore,BOS,,BAL,W,3,1,,2-May,1,up 2.0,Buchholz,Chen,Hanrahan,2:42,D,37008,++,,2013
177,8,"Wednesday, Apr 10",boxscore,BOS,,BAL,L,5,8,,3-May,1,up 1.0,O'Day,Hanrahan,Johnson,2:53,N,30862,-,,2013
178,9,"Thursday, Apr 11",boxscore,BOS,,BAL,L,2,3,,4-May,1,Tied,Matusz,Mortensen,Johnson,3:15,N,27704,--,,2013
179,10,"Saturday, Apr 13",boxscore,BOS,,TBR,W-wo,2,1,10,4-Jun,1,up 0.5,Tazawa,Gomes,,3:23,D,33039,+,,2013
180,11,"Sunday, Apr 14",boxscore,BOS,,TBR,W,5,0,,4-Jul,1,up 1.0,Buchholz,Cobb,,2:49,D,35198,++,,2013
181,12,"Monday, Apr 15",boxscore,BOS,,TBR,W-wo,3,2,,4-Aug,1,up 1.5,Bailey,Peralta,,3:03,D,37449,+++,,2013
182,13,"Tuesday, Apr 16",boxscore,BOS,@,CLE,W,7,2,,4-Sep,1,up 1.5,Doubront,Jimenez,,3:30,N,9143,++++,,2013
183,14,"Wednesday, Apr 17",boxscore,BOS,@,CLE,W,6,3,,4-Oct,1,up 1.5,Aceves,Masterson,Bailey,3:24,N,10282,+++++,,2013
184,15,"Thursday, Apr 18",boxscore,BOS,@,CLE,W,6,3,,4-Nov,1,up 2.5,Lester,McAllister,Bailey,3:13,N,12936,++++++,,2013
185,16,"Saturday, Apr 20",boxscore,BOS,,KCR,W,4,3,,4-Dec,1,up 2.0,Buchholz,Herrera,Bailey,2:58,D,35152,+++++++,,2013
186,17,"Sunday, Apr 21 (1)",boxscore,BOS,,KCR,L,2,4,,5-Dec,1,up 1.5,Santana,Dempster,Holland,2:54,D,31483,-,,2013
187,18,"Sunday, Apr 21 (2)",boxscore,BOS,,KCR,L,4,5,10,6-Dec,1,up 1.5,Herrera,Miller,Holland,3:11,N,33270,--,2013-04-19 (Police manhunt (Boston Marathon bomber)),2013
188,19,"Monday, Apr 22",boxscore,BOS,,OAK,W,9,6,,13-6,1,up 2.0,Doubront,Griffin,Bailey,3:29,N,28926,+,,2013
189,20,"Tuesday, Apr 23",boxscore,BOS,,OAK,L,0,13,7,13-7,1,up 1.0,Colon,Aceves,,2:33,N,29006,-,,2013
190,21,"Wednesday, Apr 24",boxscore,BOS,,OAK,W,6,5,,14-7,1,up 2.0,Lester,Anderson,Bailey,3:40,D,29274,+,,2013
191,22,"Thursday, Apr 25",boxscore,BOS,,HOU,W,7,2,,15-7,1,up 2.0,Buchholz,Humber,,2:59,N,30093,++,,2013
192,23,"Friday, Apr 26",boxscore,BOS,,HOU,W,7,3,,16-7,1,up 2.0,Dempster,Bedard,,3:49,N,29312,+++,,2013
193,24,"Saturday, Apr 27",boxscore,BOS,,HOU,W,8,4,,17-7,1,up 2.0,Doubront,Peacock,,3:40,N,34726,++++,,2013
194,25,"Sunday, Apr 28",boxscore,BOS,,HOU,W,6,1,,18-7,1,up 2.5,Lackey,Norris,,2:56,D,36527,+++++,,2013
195,26,"Tuesday, Apr 30",boxscore,BOS,@,TOR,L,7,9,,18-8,1,up 2.0,Delabar,Tazawa,Janssen,3:14,N,22915,-,,2013
196,Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2013
197,27,"Wednesday, May 1",boxscore,BOS,@,TOR,W,10,1,,19-8,1,up 2.0,Buchholz,Buehrle,,2:52,N,21094,+,,2013
198,28,"Thursday, May 2",boxscore,BOS,@,TOR,W,3,1,,20-8,1,up 2.5,Dempster,Happ,Hanrahan,3:22,N,25851,++,,2013
199,29,"Friday, May 3",boxscore,BOS,@,TEX,L,0,7,,20-9,1,up 2.5,Holland,Doubront,,3:04,N,42441,-,,2013
200,30,"Saturday, May 4",boxscore,BOS,@,TEX,L,1,5,,20-10,1,up 1.5,Ogando,Lackey,,2:55,N,47173,--,,2013
201,31,"Sunday, May 5",boxscore,BOS,@,TEX,L-wo,3,4,,20-11,1,up 1.5,Nathan,Mortensen,,3:35,D,46228,---,,2013
202,32,"Monday, May 6",boxscore,BOS,,MIN,W-wo,6,5,11,21-11,1,up 2.0,Mortensen,Burton,,4:44,N,31088,+,,2013
203,33,"Tuesday, May 7",boxscore,BOS,,MIN,L,1,6,,21-12,1,up 1.0,Diamond,Dempster,,3:01,N,30549,-,,2013
204,34,"Wednesday, May 8",boxscore,BOS,,MIN,L,8,15,,21-13,1,Tied,Pressly,Webster,,3:42,N,29969,--,,2013
205,35,"Thursday, May 9",boxscore,BOS,,MIN,L,3,5,,21-14,1,Tied,Correia,Lackey,Perkins,3:04,N,31571,---,,2013
206,36,"Friday, May 10",boxscore,BOS,,TOR,W,5,0,,22-14,1,Tied,Lester,Ortiz,,2:46,N,33606,+,,2013
207,37,"Saturday, May 11",boxscore,BOS,,TOR,L,2,3,,22-15,2,1,Oliver,Tazawa,Janssen,2:42,D,36543,-,,2013
208,38,"Sunday, May 12",boxscore,BOS,,TOR,L,4,12,,22-16,3,2,Jenkins,Dempster,,3:13,D,35532,--,,2013
209,39,"Tuesday, May 14",boxscore,BOS,@,TBR,L,3,5,,22-17,3,3,Moore,Lackey,Rodney,3:14,N,15227,---,,2013
210,40,"Wednesday, May 15",boxscore,BOS,@,TBR,W,9,2,,23-17,2,2,Lester,Price,,3:31,N,15767,+,,2013
211,41,"Thursday, May 16",boxscore,BOS,@,TBR,W,4,3,,24-17,2,1,Tazawa,Rodney,,3:43,N,16055,++,,2013
212,42,"Friday, May 17",boxscore,BOS,@,MIN,W,3,2,10,25-17,2,1,Wilson,Roenicke,Uehara,3:24,N,30210,+++,,2013
213,43,"Saturday, May 18",boxscore,BOS,@,MIN,W,12,5,,26-17,2,1,Breslow,Diamond,,3:53,N,36967,++++,,2013
214,44,"Sunday, May 19",boxscore,BOS,@,MIN,W,5,1,,27-17,2,0.5,Lackey,Hernandez,,3:15,D,33042,+++++,,2013
215,45,"Monday, May 20",boxscore,BOS,@,CHW,L,4,6,,27-18,2,1.5,Axelrod,Lester,Reed,2:52,N,21816,-,,2013
216,46,"Tuesday, May 21",boxscore,BOS,@,CHW,L,1,3,,27-19,2,1.5,Quintana,Doubront,Reed,2:45,N,21984,--,,2013
217,47,"Wednesday, May 22",boxscore,BOS,@,CHW,W,6,2,,28-19,2,0.5,Buchholz,Santiago,,3:15,N,21298,+,,2013
218,48,"Thursday, May 23",boxscore,BOS,,CLE,L,3,12,,28-20,2,1,McAllister,Dempster,Barnes,3:34,N,35254,-,,2013
219,49,"Friday, May 24",boxscore,BOS,,CLE,W,8,1,,29-20,2,1,Lackey,Masterson,,2:55,N,34074,+,,2013
220,50,"Saturday, May 25",boxscore,BOS,,CLE,W,7,4,,30-20,2,1,Tazawa,Pestano,Bailey,3:24,D,36504,++,,2013
221,51,"Sunday, May 26",boxscore,BOS,,CLE,W-wo,6,5,,31-20,1,Tied,Breslow,Perez,,3:19,D,37046,+++,,2013
222,52,"Monday, May 27",boxscore,BOS,,PHI,W,9,3,,32-20,1,up 1.0,Aceves,Cloyd,,3:26,N,33627,++++,,2013
223,53,"Tuesday, May 28",boxscore,BOS,,PHI,L,1,3,,32-21,1,up 1.0,Lee,Dempster,Papelbon,2:30,N,33463,-,,2013
224,54,"Wednesday, May 29",boxscore,BOS,@,PHI,L,3,4,,32-22,1,up 1.0,Kendrick,Lackey,Papelbon,3:08,N,38831,--,,2013
225,55,"Thursday, May 30",boxscore,BOS,@,PHI,W,9,2,,33-22,1,up 2.0,Morales,Pettibone,,3:15,N,40083,+,,2013
226,56,"Friday, May 31",boxscore,BOS,@,NYY,L,1,4,,33-23,1,up 1.0,Sabathia,Lester,Rivera,2:53,N,45141,-,,2013
227,Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2013
228,57,"Saturday, Jun 1",boxscore,BOS,@,NYY,W,11,1,,34-23,1,up 2.0,Doubront,Hughes,,3:25,N,48784,+,,2013
229,58,"Sunday, Jun 2",boxscore,BOS,@,NYY,W,3,0,6,35-23,1,up 2.5,Buchholz,Kuroda,,1:58,N,43613,++,,2013
230,59,"Tuesday, Jun 4",boxscore,BOS,,TEX,W,17,5,,36-23,1,up 2.5,Dempster,Grimm,,3:10,N,32035,+++,,2013
231,60,"Wednesday, Jun 5",boxscore,BOS,,TEX,L,2,3,,36-24,1,up 1.5,Cotts,Breslow,Nathan,3:17,N,33296,-,,2013
232,61,"Thursday, Jun 6",boxscore,BOS,,TEX,W-wo,6,3,,37-24,1,up 1.5,Bailey,Kirkman,,3:21,N,35352,+,,2013
